Color ID	R	G	B	Hex
1	0	0	0	#000000
2	255	255	255	#ffffff
3	255	0	0	#ff0000
4	0	255	0	#00ff00
5	0	0	255	#0000ff
6	255	255	0	#ffff00
7	0	255	255	#00ffff
8	255	0	255	#ff00ff
9	204	204	204	#cccccc
10	185	185	185	#b9b9b9
11	163	163	163	#a3a3a3
12	140	140	140	#8c8c8c
13	118	118	118	#767676
14	96	96	96	#606060
15	73	73	73	#494949
16	51	51	51	#333333
17	254	56	23	#fe3817
18	235	49	23	#eb3117
19	200	40	23	#c82817
20	130	5	23	#820517
21	49	111	255	#316fff
22	44	102	236	#2c66ec
23	35	85	199	#2355c7
24	21	49	126	#15317e
25	255	131	88	#ff8358
26	238	117	81	#ee7551
27	201	99	65	#c96341
28	130	56	23	#823817
29	95	181	255	#5fb5ff
30	89	167	236	#59a7ec
31	74	140	199	#4a8cc7
32	44	85	126	#2c557e
33	254	53	138	#fe358a
34	235	49	127	#eb317f
35	199	40	105	#c72869
36	129	5	65	#810541
37	163	124	255	#a37cff
38	150	115	236	#9673ec
39	126	94	199	#7e5ec7
40	80	56	126	#50387e
41	255	189	185	#ffbdb9
42	240	175	170	#f0afaa
43	203	146	142	#cb928e
44	131	31	88	#831f58
45	252	62	255	#fc3eff
46	233	56	236	#e938ec
47	198	49	199	#c631c7
48	129	27	126	#811b7e
49	255	179	23	#ffb317
50	240	165	23	#f0a517
51	203	139	23	#cb8b17
52	131	83	23	#835317
53	97	254	110	#61fe6e
54	90	236	100	#5aec64
55	78	200	82	#4ec852
56	53	125	44	#357d2c
57	255	235	124	#ffeb7c
58	244	217	114	#f4d972
59	207	183	96	#cfb760
60	133	116	57	#857439
61	201	254	23	#c9fe17
62	187	236	23	#bbec17
63	158	200	23	#9ec817
64	100	125	23	#647d17
